bib,age,5k_minutes,gender_F,gender_M,finish_minutes,avg_pace_to_5k
23486,56,26.03,1,0,240.32,11.53
23340,64,28.35,1,0,240.32,10.58
20911,54,26.97,1,0,240.32,11.12
23283,66,25.95,0,1,240.33,11.56
16328,55,24.95,0,1,240.35,12.02
22889,55,26.58,1,0,240.35,11.29
22561,45,27.75,1,0,240.35,10.81
23954,65,27.67,1,0,240.35,10.84
23025,68,27.62,1,0,240.35,10.86
17789,59,26.68,0,1,240.37,11.24
22046,49,29.17,1,0,240.37,10.28
22082,60,27.45,1,0,240.38,10.93
31879,46,26.78,1,0,240.38,11.2
21096,53,26.83,1,0,240.38,11.18
13820,52,25.65,0,1,240.38,11.7
21483,67,27.17,0,1,240.4,11.04
21617,52,27.0,1,0,240.4,11.11
17408,38,25.23,1,0,240.42,11.89
21269,54,28.62,1,0,240.42,10.48
22397,45,27.3,1,0,240.43,10.99
21308,66,27.57,0,1,240.43,10.88
25517,32,28.8,1,0,240.43,10.42
20772,40,27.28,1,0,240.45,11.0
30640,37,27.78,0,1,240.45,10.8
12508,51,24.9,0,1,240.45,12.05
20825,50,28.0,1,0,240.45,10.71
27296,39,28.85,1,0,240.47,10.4
24975,40,28.95,1,0,240.5,10.36
23241,50,26.6,1,0,240.5,11.28
22470,49,26.4,1,0,240.5,11.36
29619,41,28.23,0,1,240.5,10.63
18719,46,25.07,1,0,240.53,11.97
23930,56,28.17,1,0,240.53,10.65
22206,65,25.78,0,1,240.55,11.64
20130,42,25.85,1,0,240.55,11.61
15450,27,24.37,1,0,240.55,12.31
20571,57,26.9,1,0,240.55,11.15
29871,32,29.22,1,0,240.55,10.27
20403,40,27.37,1,0,240.55,10.96
24112,63,28.27,1,0,240.57,10.61
21671,60,27.77,0,1,240.6,10.8
20769,47,25.9,1,0,240.62,11.58
31030,29,30.48,0,1,240.62,9.84
22958,54,28.2,1,0,240.62,10.64
22232,47,26.45,1,0,240.62,11.34
30787,50,23.45,1,0,240.63,12.79
18131,43,23.55,1,0,240.63,12.74
